"TAXON","FAMILY","Sample","GENUS","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","DATE","Condition","TAXON_NEW","MANUAL","TAXON_NEW2"
"Lupinus sericeus","Fabaceae",54,"Lupinus",2373,47385,5.00791389680279,190,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Mertensia ciliata","Boraginaceae",55,"Mertensia",46366,464609,9.97957422262591,169,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Delphinium nuttallianum","Ranunculaceae",55,"Delphinium",23212,464609,4.99602891894044,169,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Lupinus sericeus","Fabaceae",56,"Lupinus",33555,242538,13.8349454518467,169,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Hydrophyllum fendleri","Hydrophyllaceae",56,"Hydrophyllum",21700,242538,8.94705159603856,169,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Hydrophyllum capitatum","Hydrophyllaceae",56,"Hydrophyllum",3123,242538,1.28763327808426,169,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Mertensia ciliata","Boraginaceae",56,"Mertensia",1406,242538,0.579702974379273,169,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Delphinium nuttallianum","Ranunculaceae",6,"Delphinium",18259,67446,27.0720279927646,173,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Hydrophyllum capitatum","Hydrophyllaceae",6,"Hydrophyllum",419,67446,0.621237730925481,173,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Lupinus argenteus","Fabaceae",60,"Lupinus",43576,209505,20.7995035917997,180,"A","Lupinus argenteus",FALSE,"Lupinus argenteus"
"Lupinus sericeus","Fabaceae",60,"Lupinus",35019,209505,16.7151141977518,180,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Hydrophyllum fendleri","Hydrophyllaceae",60,"Hydrophyllum",26464,209505,12.6316794348584,180,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Mertensia ciliata","Boraginaceae",60,"Mertensia",3664,209505,1.74888427483831,180,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Hydrophyllum capitatum","Hydrophyllaceae",60,"Hydrophyllum",2734,209505,1.30498078804802,180,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Mertensia ciliata","Boraginaceae",65,"Mertensia",45265,130796,34.6073274412062,176,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Hydrophyllum fendleri","Hydrophyllaceae",65,"Hydrophyllum",10493,130796,8.02241658766323,176,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Lupinus sericeus","Fabaceae",65,"Lupinus",2001,130796,1.52986329857182,176,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Delphinium nuttallianum","Ranunculaceae",9,"Delphinium",19797,81491,24.293480261624,176,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Hydrophyllum capitatum","Hydrophyllaceae",9,"Hydrophyllum",10267,81491,12.5989373059602,176,"A","Hydrophyllum capitatum",FALSE,"Hydrophyllum capitatum"
"Vicia americana","Fabaceae",9,"Vicia",4084,81491,5.01159637260556,176,"A","Vicia americana",FALSE,"Vicia americana"
"Cynoglossum pringlei","Boraginaceae",12,"Cynoglossum",1825,59478,3.06836141094186,186,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum pringlei","Boraginaceae",15,"Cynoglossum",2671,74768,3.57238390755403,165,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum pringlei","Boraginaceae",18,"Cynoglossum",9793,595570,1.64430713434189,166,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum pringlei","Boraginaceae",3,"Cynoglossum",413,16943,2.43758484329812,172,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum pringlei","Boraginaceae",30,"Cynoglossum",11756,283698,4.14384310076208,155,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum pringlei","Boraginaceae",41,"Cynoglossum",20655,470206,4.3927555156676,179,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum pringlei","Boraginaceae",43,"Cynoglossum",838,116764,0.717686958309068,171,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum pringlei","Boraginaceae",46,"Cynoglossum",3661,866711,0.422401469463293,163,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum pringlei","Boraginaceae",55,"Cynoglossum",15251,464609,3.28254510782185,169,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
